id,origin_user,origin,destination,flight_type,travel_date,overall_rating,review_text
17,Desconocido,Bilbao,Tenerife,Domestic,febrero de 2026,1,"Lamentable la experiencia con el servicio de atención al cliente, maquina tras maquina o mensajes en su centro de ayuda. Te dan la opción de reembolso por no uso, pero nada más lejos de la realidad. Cuidado con sus términos y condiciones. Por error hicimos compra de servicio de facturación y encima de no hacer uso, por no llevar maleta, no les sirve que haya sido una confusión. Nos comunican que no va haber reembolso, 48 € nada más y nada menos. Un fallo lo comete cualquiera... No tenéis vergüenza."
18,Desconocido,Las Palmas de Gran Canaria,Granada,Domestic,febrero de 2026,1,"El personal en general tuvieron una empatía muy escasa con nosotros. Nosotros cogimos el vuelo el 15 de Febrero y por un problema de la página web cuando llegamos a hacer el check-in salía que teníamos el vuelo para el 15 de Marzo, a más personas les pasó lo mismo y la chica del aeropuerto no nos dió ninguna solución, 0 empatía. Nos dijo que llamáramos a la compañía para que nos devolviera el dinero, teníamos el vuelo para las 7:10 de la mañana, y no se podía llamar hasta las 8:00, es decir, perdimos el vuelo y nos fuimos con una sensación muy amarga de la compañía, dejan mucho que desear."
19,Desconocido,Bilbao,Granada,Domestic,diciembre de 2025,1,"El día 18 de diciembre volé desde Bilbao a Granada con mi pareja para pasar las navidades con su familia. En la cola de embarque nos apartan porque quieren comprobar si mi maleta de mano excede las medidas permitidas, hecho cierto y por el cual me reclaman el pago de una cantidad. Este hecho es cierto y ellos tienen la razón, pero esto desemboca en que tomen una actitud de matón y respondan de malas formas tanto a mi como a mi pareja a la cual quieren cobrar también cuando su maleta cumple estrictamente con la normativa. No nos permiten sacar equipaje de la maleta, amenazan y responden de malas maneras y cuando se les reclama un trato correcto amenazan con haber llamado a la policía y no dejarnos volar (sabiendo que con las fechas que son no vamos a poner problemas a pagar todo lo que ellos reclamen). Jamás me he sentido tan humillado en medio de una cola de pasajeros ni tan estafado, ni por supuesto he dejado que nadie me hable tan mal en mi vida. A todo esto hemos escrito y reclamado por todos los sitios posibles esperando al menos una disculpa formal de la compañía a la que hemos intentado avisar de las formas (no de las prácticas) de alguno de sus empleados para que intenten remediarlo y no menoscabar su reputación, pero ha dado el mismo resultado que hablar con la pared, tengo claro que prefiero viajar a otro continente en bicicleta que volver a subirme en un avión operado por esta compañía"
20,Desconocido,Bilbao,Seville,Domestic,febrero de 2026,1,"Pésimo servicio de atención a clientes, nos han confirmado un vuelo y a la hora de escoger los asientos el vuelo no aparece, llamas durante horas para hablar con alguien porque es súper difícil que te cojan el tlf y cuando por fin consigo una persona al tlf me dice que ese vuelo no está confirmado “teniendo yo la confirmación y el localizador” me dice que es un error de vueling pero que no pueden hacer nada, que me saque otro vuelo. “Vuelo ahora a 300 euros” cuando el mío sacado con tiempo me costó 52. UN DESASTRE. Me lo he sacado con volotea y nada que ver, aviones más limpios, servicio mucho más profesional y aunque tienen menos vuelos por lo menos sabes que no te dejan tirados. Hay que evitar vueling a toda costa"
21,Desconocido,Barcelona,La Coruna,Domestic,febrero de 2026,1,"Son unos auténticos sinverguenzas y ladrones, hemos llegado a coruña y le dio por dar la vuelta otra vez a bcn, ahora llevamos 4 horas 50 personas tiradas esperando a que nos den una respuesta, tirados como ganado, no nos dan ni un hotel, ni una respuesta, ni ningún tipo de facilidad, la última vez que me subo en esta muerda de aereolinea"
22,Desconocido,Barcelona,Oslo,Europe,febrero de 2026,1,Resulta que reservo ida y vuelta de Barcelona a Oslo en abril. Me cancelan el vuelo de vuelta. Pero resulta que el de ida no saben si se cancelará o no. me abren un caso y me dicen que puedo cambiar por otro vuelo. Me proponen volver en Junio (vuelo de vuelta el 29 de Abril). Resulta que han quitado los vuelos y nadie sabe nada. He llamado varias veces y no saben que tengo que hacer. Increíble!!!!! Espero que me den una solución aunque lo veo complicado.
23,Desconocido,Barcelona,Paris,Europe,febrero de 2026,1,"En espera del vuelo que era a las 12:40 pm con destino a París, ya en el aeropuerto, lo cancelaron. Sólo dieron la alternativa de agendar para el día siguiente o devolver el precio pagado para que uno mismo buscara un vuelo en otra línea aérea, lo que a esa altura salía una fortuna. Perdimos la entrada al palacio de Versalles que estaba planificada y pagada hacía meses. Nos vimos forzados a aceptar viaje al día siguiente por lo que nos ubicaron en un hotel que sólo se hizo cargo de dar habitación y desayuno. La línea aérea mandó pasado las 16:00 hrs y para almorzar una pizza individual y agua; para cenar un sándwich de pollo del burguer king y agua. Fue una experiencia frustrante, indignante y denigrante porque a la línea aérea no les importa empatizar con el pasajero-cliente, sólo el lucro. Jamás volveré a elegir a esta empresa. Jamás la recomendaré."
24,Desconocido,Bilbao,Las Palmas de Gran Canaria,Domestic,enero de 2026,5,"Mi padre tras confundirse de bus ( el conductor tb tuvo la culpa por no mirar el billete) llego a bilbao en vez del aeropuerto, por lo que tras coger rapidamente un taxi llegó pasado el limite de entrega de equipaje. Una señorita de vueling lo vio apurado y le facturó la maleta aún pasado el tiempo. Quería agradecerselo ya que mi padre es una persona mayor y se encontró muy perdido en ese momento. Gracias al personal de Vueling del aeropuerto de Bilbao."
25,Desconocido,Paris,Malaga,Europe,febrero de 2026,1,"Ha sido una experiencia horrible, no nos han dejado volar por llegar un minuto tarde después del cierre de embarque por causas totalmente ajenas y que no dependían de nosotras. El control de seguridad nefasto, sabían que teníamos que correr para llegar y aún así nos vacilaron haciéndonos perder tiempo. Además, el personal de Vueling ni siquiera nos ayudó a encontrar la puerta de embarque teniendo que preguntar a varias personas perdiendo más tiempo todavía. Contra todo esto, llegamos a las 6:21 (siendo el cierre a las 6:20) sin dejarnos volar. Más ridículo aún es ver salir a una azafata por la misma puerta de acceso al avión cuando repetidas veces nos decían que ya era demasiado tarde, repito, un minuto tarde y teniendo en cuenta que el avión salía a las 6:40. Aerolínea vergonzosa, en cualquier otra te hubiesen dejado subir sin problema."
26,Desconocido,Barcelona,Venice,Europe,septiembre de 2025,1,"Nos cancelaron a mí hermana y ami el vuelo del 14 de septiembre por una avería. Estamos cansadas de poner reclamaciones porque sólo nos han devuelto el billete de una, y ahora, seis meses después nos informan que teníamos que poner DOS reclamaciones... Cuando pones una queja, te remiten a Facebook, donde su servicio de atención al usuario es lo más pésimo e inútil de cualquier web o app. Así que ahora tenemos varias reclamaciones puestas,incluida AESA, que por lo visto, su trato es de 10, para el que quiera poner alguna queja."
27,Desconocido,Nuremberg,Barcelona,Europe,febrero de 2026,5,"Por primera vez en mi vida, me dio un ataque de ansiedad durante el vuelo. No pude tener más suerte con Victor, Martina y Diego, manejaron la situación a la perfección, tranquilizandome y mostrando empatia en todo momento. Gracias a ellos, vueling seguirá siendo mi compañia de confianza"
28,Desconocido,Barcelona,Las Palmas de Gran Canaria,Domestic,enero de 2026,1,"Son una banda de sinvergüenzas,reservamos 6 meses de antelación para sacar unos precios bajos y a falta de 2 meses nos cambian el vuelo con otro horario y con escala,su excusas es que es por motivos ajenos a la compañía, ahí le pillamos la mentira pues unos familiares se sumaron al viaje a falta de 2 meses y medio pagando los billete el doble que nosotros con la misma salida que nosotros reservamos al principio y con unos de los asientos que teníamos reservados,estaba claro que nos quitaron nuestro vuelo para venderlo mas caros y relegarnos a otro con un peor horario y escala,es una estafa en toda regla porque pagas por un servicio que vueling al final no te ofrece,no vuelvo a reservar con vueling jamás y voy hablar mal de esta gentuza a todos el mundo que pueda para que no le pase a mas nadie,"
29,Desconocido,Barcelona,Las Palmas de Gran Canaria,Domestic,febrero de 2026,1,"Compramos dos billetes con mucha antelación y nos dan asientos separados, debe ser, si no pagas te fastidias, es la única compañía que he visto que hacen esto"
30,Desconocido,Valencia,Santa Cruz de la Palma,International,febrero de 2026,1,"Horrible, combinado de Vueling con Iberia, he facturado maletas y horrible, me han cobrado por todo. Y encima sin idea de quien se tiene que encargar de nada. Horrible, angustioso y un calvario. Así no se puede viajar. NO VOY A VIAJAR MAS NI CON VUELING NI CON IBERIA. me han cobrado el doble de maletas,. un desastre. Aviso que no compréis esos combinados, por que estos ineptos no saben como llevarlos a termino."
31,Desconocido,Barcelona,Oviedo,Domestic,febrero de 2026,1,"Aeropuerto de Barcelona, experiencia exprés en el vuelo VY1570: embarque a las 7:00, cerrado a las 7:10. Diez minutos. Si no corres, no vuelas. Nos dejaron en tierra para Asturias como si el embarque fuera una carrera clasificatoria. Viaje y dinero perdidos por aplicar cronómetro en vez de sentido común. La próxima vez traeremos zapatillas de correr en vez de maletas. Y luego hablarán de “experiencia del pasajero”."
32,Desconocido,La Coruna,Valletta,Europe,enero de 2026,1,"El servicio de facturacion de maletas es un desastre. En el año 2025 hicimos un viaje desde A Coruña con destino a Malasia, pasando por Barcelona. La maleta llegó 7 dias después que nosotros pues de A Coruña, fue para Madrid. Este mes de Enero otro viaje: A Coruña-Malta, pasando también por Barcelona, lo mismo, la maleta nunca llegó a Malta, se fue directa a Madrid. Un desastre!! Te arruina el viaje."
33,Desconocido,Santa Cruz de la Palma,Barcelona,Domestic,diciembre de 2025,2,"Nos cancelaron el vuelo estando en el mismo aeropuerto y habiendo facturado ya la maleta. Desde las 18:50, hora de salida, no nos facilitan hotel hasta las 23 y algo. No nos facilitan comida, tampoco en el hotel. Salimos al día siguiente a las 9:23 habiendo tomado solamente un café y un cruasán en el mismo aeropuerto. Conseguir la indemnización y los gastos de desplazamiento y desayuno es una odisea que exige horas y horas de llamadas. De todas formas al final lo conseguimos. Pero se niegan a pagarme 12 miserables euros de comida del avión a pesar de demostrarles que el retraso fue de más de 14 horas y 4 de trayecto y no habíamos tomado nada más que lo antes mencionado. Cuando se encuentren en la misma situación y si se prevé que no les van a facilitar alimentos en el alojamiento, háganse con ellos en el aeropuerto y guarden todos los justificantes. Y por cierto la tortilla enlatada que tienen en sus aviones es bastante mala."
34,Desconocido,Tenerife,Barcelona,Domestic,enero de 2026,1,Infame experiencia. Retraso. Desinformación. Trato deplorable. Los datos cambiando en todo momento y esperas ilógicas.
35,Desconocido,Las Palmas de Gran Canaria,Seville,Domestic,enero de 2026,1,Azafatas no diferencian entrada al avión y discusiones entre ellas y pasajeros por no hacer bien su trabajo desde el principio.Mala experiencia
36,Desconocido,Malaga,Barcelona,Domestic,enero de 2026,1,"Ridícula vergonzosa y un desastre. De cada 10 viajes, medio sale o llega a su hora. El embarqué ridículo con toda la tranquilidad del mundo , no importa el cliente ni los planes, ellos están relajadisimos"
37,Desconocido,Seville,Las Palmas de Gran Canaria,Domestic,enero de 2026,1,"Jueves 29 de Enero Embarcando a 18:00 La chica de pelo rizado nos dice que no podemos pasar por tener dos bolsas (una caja de zapatos y una vestido de boda que va como tiene que ir, en su percha y con la funda! Le hizo sacar a mi suegra la ropa de boda y doblarla para meterla en la maleta! Sinceramente es lamentable que no tengan ni un pizco de empatía… por supuesto que no vamos a facturar una maleta de más para un vestido y unos zapatos…que ya nos cabían en las maletas que llevábamos, pero que es de sentido común que no lo vas a meter en una maleta donde se escachen o arrugen de más….nada más que eso! Cada vez la atención y el servicio de estas aerolíneas van peor! Nos vinimos en Binter por el horario, pero para la próxima, volvemos en Binter…y no los importa pagar algo más, porque no es cuestión de dinero, sino de sentido común"
38,Desconocido,Barcelona,Venice,Europe,septiembre de 2025,1,"Nos anularon dicho vuelo a mi hermana y a mi. A mi me reembolsaron la cancelación, pero a mi hermana no la han devuelto nada. Estoy harta de realizar reclamaciones, y no nos han hecho ni caso, pero que no se piensen que esto va a quedar así, porque continuaremos reclamando hasta conseguir la devolución."
39,Desconocido,Madrid,Barcelona,Domestic,noviembre de 2025,1,"Mala experiencia, no tuve espacio para los pies, y a mitad del vuelo me dieron un paracaidas para tirarme del avion, ya que las azafatas/azafatos me intentaban humillar, por desgracia lo consiguieron, me fiu al baño y me intente quitar la vida, pero gracias a mi negociador me salve. GRACIAS A EL SIGUE VIVO"
40,Desconocido,Bilbao,Milan,Europe,enero de 2026,1,"Horrible. Vamos a embarcar y yo llevaba mi mochila de mano que mide 40x30x20, como la mayoría de los pasajeros de ese día. Pues nos hacen pasarla por su medidor 'aleatoriamente' a dos personas, una de ellas yo. Cuando la voy a meter no entra de ancho por lo que me voy a poner una sudadera y me dice la señora del embarque que mi bolsa de comida (cosa totalmente imprescindible) la tengo que meter dentro de la mochila por lo que ya no me entra de ninguna manera. Le digo que me cobre hasta Barcelona porque tenía escala y no me deja. Obligatoriamente hasta Milán. 120€ la broma. Increíble que vuestra política dejadme decir: política saca dinero por todo funcione así. Cuando perfectamente entra la mochila debajo del asiento como indica en el billete, adjunto fotos de la misma. Además la tratan mal, golpeada, manchada y mojada como muestro en las imágenes. La casualidad da que a la vuelta de Milán a Bilbao ningún tipo de medición a nadie. Así que pude entrar con mi misma mochila igual o más llena que a la ida. Mando un correo y dicen que es por la comodidad de los pasajeros o seguridad. Jajajajaja El único objetivo que tenéis es sacar las cuatro perras a 4-5 personas y cuando hacéis el cupo para pagaros la extra... suficiente no medimos más mochilas ni maletas. Muy lamentable lo de esta aerolínea."
41,Desconocido,Las Palmas de Gran Canaria,Bilbao,Domestic,enero de 2026,1,"Volvíamos de un vuelo al aeropuerto de Bilbao. Como consecuencia de fuertes rachas de viento, no se pudo aterrizar y nos derivaron a Barcelona. Las azafatas nos dicen que programarán autobuses de vuelta. Llegamos a las 23:30. Allí nos recibe una chica que nos dice que vayamos a un bar, que nos darán de cenar y que estemos atentos a las pantallas para saber cuándo programan vuelo de vuelta. Allí terminó toda comunicación con Vueling. La cena en cuestión era un bocadillo reseco, una botella de agua y una napolitana también reseca . Toda una noche abandonados en el aeropuerto del Prat. Con las maletas dentro del avión, daba igual que tuvieras frío o necesitaras algo de ellas. Nadie de la Compañía se interesó de si alguien de los 150 pasajeros necesitábamos algo. Finalmente programaron el vuelo para las 5:50am, pero luego salió a las 6:20. Lamentable."
42,Desconocido,Malaga,Barcelona,Domestic,julio de 2025,2,"Vueling no mi paga mi reembolso de taxi desde julio 2025. Es imposible entrar en contacto con Vueling por teléfono, el chat es automático no soluciona nada y el email no te contestan. Un servicio de atención al cliente horrible!!! Volar Vueling solo si no hay un problema, caso contrario, será una lucha sin fin, y sin respuestas."
43,Desconocido,Barcelona,Las Palmas de Gran Canaria,Domestic,enero de 2026,1,"😡GESTIÓN NEFASTA DEL EQUIPAJE EN CABINA. Son muy restrictivos con el tamaño y cantidad de bultos que llevas de mano, hasta que entras en el avión y ves que el espacio por el que te han hecho pagar para llevar tu trolley (45€) está ocupado por abrigos y mochilas por lo que no se ha pagado extra y que deben ir debajo de los asientos (como te advierten en rojo en cada paso del proceso de compra). Lo peor es que los auxiliares de vuelo te dan la razón, pero no hacen NADA para organizar eso. Tuve que poner mi trolley en un espacio de de filas más atrás, con el atasco y molestias que eso supone en el desembarque. Me dijeron que no podían hacerse cargo de eso y que si me molestaba demasiado esperar 2 min en el desembarque. Desde luego parece que me tiene que molestar menos que a ellos hacer SU TRABAJO. Además, el espacio de piernas es de los más pequeños que he visto (y yo mido menos de 1,60m)."
44,Desconocido,Barcelona,Alicante,Domestic,enero de 2026,1,"La azafata que nos atendió deja mucho que desear … malas formas , irrespetuosa y sinceramente me hizo pasar vergüenza ya que incluso alzó la voz refiriéndose a mí en un tono despectivo ,su nombre Beatriz , y no solo conmigo.. era bastante antipática con más pasajeros incluso ponía malas caras cuando algo le pedían algo , sinceramente con las cantidad de chicas que estudian se preparan y son excelentes azafatas no entiendo como trabaja en esta compañía con la que jamás anteriormente he tenido ningún inconveniente. Darle las gracias por sus formas hacia los clientes de Vueling o Iberia ."
45,Desconocido,Tenerife,Seville,Domestic,junio de 2025,3,Bastante bien aunque un poco ruidoso el vuelo y no ofrecen comida.. Las azafatas muy amables. Definitivamente muy bueno.
46,Desconocido,Tenerife,Barcelona,Domestic,enero de 2026,1,"Regularmente en mi vuelo 6 pasajeros en la misma situación , no permite asignar asientos en la compra con el pretexto de verificar certificado residente canario y al llegar al mostrador automático te incluyen en lista de espera . Es penoso este tipo de práctica discriminatoria con los residentes de las islas canarias"
47,Desconocido,Bilbao,Barcelona,Domestic,enero de 2026,1,"Nueva mala experiencia con Vueling y, desde luego, la última. En un vuelo anterior ya me entregaron la maleta rota, pero lo de esta vez ha sido el colmo. No solo es la falta de cuidado con el equipaje de los pasajeros, sino la actitud del personal de tierra. Han sido extremadamente bordes y prepotentes al intentar pedir una solución. Se niegan en rotundo a dar cualquier tipo de explicación lógica y te despachan con total indiferencia, como si el cliente fuera el culpable de su mala gestión. Una aerolínea que no cuida ni las pertenencias de sus clientes ni el trato humano básico no merece ninguna confianza. La falta de transparencia y la mala educación son, lamentablemente, la seña de identidad de esta compañía. No volveré a volar con ellos."
48,Desconocido,Malaga,Rome,Europe,diciembre de 2025,1,"Iba a viajar a Roma con un amigo el pasado puente de diciembre. Compré los dos billetes con esta compañía a través de una empresa intermediaria (Kiwi). Tuve un accidente y me rompí el peroné antes del viaje, por lo que no pude irme. Con el tipo de tarifa contratada, ni Vueling ni Kiwi me daban una solución decente a pesar de aportar el certificado médico correspondiente: o bien cancelaba ambos billetes, pero a mí me devolvían el dinero y a mi compañero no; o bien no cancelaba ningún vuelo, con lo que mi amigo podía volar pero yo no y a mí no me devolvían el dinero. No me daban la opción de anular mi billete pero no el de mi amigo, que sí quería viajar. Muy poca empatía y profesionalidad por parte de ambas empresas, incluso con motivo médico de peso para no poder viajar."
49,Desconocido,Palma de Mallorca,Lisbon,Europe,enero de 2026,1,"compañia de piratas con el beneplacito del gobierno, la ultima vez que uso esta compañia que solo les falta el parche en el ojo. cambian horarios y anulan vuelos como si nada, con la escusa de que lo hacen con 14 dias de antelacion no tienes derechoa indenizacion y cuando buscas alternativa los precios han subido una exageracion porque queda poco para el viaje"
50,Desconocido,Alicante,Bilbao,Domestic,enero de 2026,4,"Ni mas ni menos que lo que cualquier compañía aérea que se precie debe hacer, es decir fácil facturación y puntualidad . Solo un pequeño incidente por la indisposición de un pasajero en Alicante que nos retrasó un poco pero ese tiempo fue recuperado en el vuelo."
51,Desconocido,Bilbao,Alicante,Domestic,enero de 2026,5,"En esa ocasión tanto a la ida como a la vuelta no nos sorprendieron con ningún detalle típico de Vueling , como embarques y desembarques complicados e hizo que a falta de estos detalles fueron unos vuelos perfectos pero aburridos, ja, ja, ja"
52,Desconocido,Paris,Barcelona,Europe,diciembre de 2025,1,"Mi experiencia con Vueling ha sido, sencillamente, inaceptable. Retrasaron mi vuelo de un día para otro sin ofrecer ninguna explicación coherente y, lo que es peor, sin proporcionar alojamiento, comida ni ningún tipo de asistencia básica durante las más de 24 horas que nos dejaron completamente tirados. Cuando intentas reclamar por los gastos adicionales que te ves obligado a asumir —porque no queda otra que pasar una noche más en el destino— descubres que el proceso es casi una burla: solo permiten hacerlo por email, únicamente en inglés, y te responde una supuesta “IA de atención al cliente” que se limita a marearte con respuestas vacías que no llevan a ninguna parte. La sensación es que la compañía hace todo lo posible para evitar responsabilizarse de sus propios errores y del perjuicio que causa a sus pasajeros. Después de esta experiencia, tengo clarísimo que no volveré a volar con Vueling. Una empresa que trata así a sus clientes no merece ni confianza ni repetición. La peor compañía aérea europea."
